,title,image,readymeal_요리재료,readymeal_즉석식품,kind_밥,kind_빵,kind_면,kind_떡,kind_튀김,country_한식,country_일식,country_중식,country_양식,spicy_매움,spicy_맵지않음,sweet_달다,sweet_달지 않음,began_육식,began_채식,sour_신맛,sour_시지않음,cos
0,진라면 매운맛,https://ottogi.co.kr/pds/product/2022-05-16_106881874[3].jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0.5033564925474466
1,진비빔면,https://ottogi.co.kr/pds/product/2022-03-30_358200375.jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,1,0,1,0,0,1,1,0,0.49726116356675804
2,컵누들 로제맛,https://ottogi.co.kr/pds/product/2022-08-10_264445267[2].jpg,0,1,0,0,10,0,0,0.0,0.0,0.0,10.0,0,1,0,0,0,1,0,1,0.5082369067125936
3,컵누들 매콤한 맛,https://ottogi.co.kr/pds/product/2023-05-10_227042245.jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0.5033564925474466
4,콤비네이션 피자,https://ottogi.co.kr/pds/product/2023-04-10_464212069[2].jpg,0,1,0,10,0,0,0,0.0,0.0,0.0,10.0,0,1,1,0,0,1,0,1,0.019512177002965665
5,골드마요네스,https://ottogi.co.kr/pds/product/2017-09-18_907207085[2].jpg,1,0,10,0,0,0,0,0.0,0.0,0.0,10.0,0,1,1,0,0,1,0,1,0.01463413869751439
6,백세카레 (약간매운맛),https://ottogi.co.kr/pds/product/2022-05-12_539198695.jpg,0,1,10,0,0,0,0,0.0,0.0,0.0,10.0,1,0,0,0,0,1,0,1,0.014669962760749534
7,3분카레(약간매운맛),https://ottogi.co.kr/pds/product/2022-05-03_976190153.jpg,0,1,10,0,0,0,0,0.0,0.0,0.0,10.0,1,0,1,0,0,1,0,1,0.01463413869751439
8,토마토케챂,https://ottogi.co.kr/pds/product/2017-05-19_808148676[14].jpg,0,1,10,0,0,0,0,0.0,0.0,0.0,10.0,0,1,1,0,0,1,1,0,0.014634138697510839
9,REAL 프렌치 크로크무슈 오리지널(4개입),https://ottogi.co.kr/pds/product/2021-04-19_457521397[2].jpg,0,1,0,10,0,0,0,0.0,0.0,0.0,10.0,0,1,1,0,0,1,0,1,0.019512177002965665
10,히모카와우동(2인) 396G,https://ottogi.co.kr/pds/product/2023-06-30_617319122[12].jpg,0,1,0,0,10,0,0,0.0,10.0,0.0,0.0,0,1,0,0,0,1,0,1,0.9951337913564217
11,키위 저칼로리드레싱(냉장) 310G,https://ottogi.co.kr/pds/product/2023-02-24_929176031[4].jpg,0,1,0,10,0,0,0,0.0,0.0,0.0,10.0,0,1,1,0,0,1,1,0,0.014634138697510839
12,옛날 구수한끓여먹는누룽지(국산),https://ottogi.co.kr/pds/product/2023-03-03_64582749.jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.019559942344987164
13,갈릭고르곤졸라 치즈크러스트 피자 460G,https://ottogi.co.kr/pds/product/2022-03-17_367582465[4].jpg,0,1,0,10,0,0,0,0.0,0.0,0.0,10.0,0,1,1,0,0,1,0,1,0.019512177002965665
14,고기리 들기름막국수,https://ottogi.co.kr/pds/product/2022-05-23_316001203[6].jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,0,1,0,1,0,1,0,1,0.5118680955280476
15,마열라면,https://ottogi.co.kr/pds/product/2023-09-18_974630657.jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0.5033564925474466
16,옛날 구수한 누룽지,https://ottogi.co.kr/pds/product/2022-04-25_767058789[2].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.019559942344987164
17,컵누들 베트남쌀국수 컵,https://ottogi.co.kr/pds/product/2023-05-11_440837901[4].jpg,0,1,0,0,10,0,0,0.0,0.0,10.0,0.0,0,1,0,0,0,1,0,1,0.5082369067125936
18,3분카레(순한맛),https://ottogi.co.kr/pds/product/2022-05-03_976190153[5].jpg,0,1,10,0,0,0,0,0.0,0.0,0.0,10.0,0,1,0,0,0,1,0,1,0.019559942323109966
19,오뚜기밥,https://ottogi.co.kr/pds/product/2023-02-02_301781936[53].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.019559942344987164
20,오뚜기밥 큰밥,https://ottogi.co.kr/pds/product/2023-02-02_301781936[51].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.019559942344987164
21,오뚜기밥 오곡 ,https://ottogi.co.kr/pds/product/2021-03-22_1072758181[8].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.019559942344987164
22,3분 쇠고기카레,https://ottogi.co.kr/pds/product/2021-03-23_212827407[10].jpg,0,1,10,0,0,0,0,0.0,0.0,0.0,10.0,0,1,0,0,1,0,0,1,0.014669962760749534
23,오뚜기밥 발아현미,https://ottogi.co.kr/pds/product/2021-03-22_1072758181[12].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.019559942344987164
24,렌지에 돌려먹는 삼치구이,https://ottogi.co.kr/pds/product/2022-04-26_980935806[4].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0.014669962770159506
25,진라면 순한맛,https://ottogi.co.kr/pds/product/2022-05-16_106881874[4].jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.5082372904976594
26,Real 멕시칸 브리또 페페로니트리플치즈,https://ottogi.co.kr/pds/product/2022-04-01_785806701[4].jpg,0,1,10,0,0,0,0,0.0,0.0,0.0,0.1,0,1,1,0,1,0,0,1,0.0204469309527963
27,렌지에 돌려먹는 고등어구이 ,https://ottogi.co.kr/pds/product/2022-04-26_980935806.jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0.5033564925474466
28,열라면,https://ottogi.co.kr/pds/product/2021-04-29_160263743[10].jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.5082372904976594
29,스낵면,https://ottogi.co.kr/pds/product/2023-05-10_227036363[4].jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0.5033564925474466
30,오뚜기 진라면 매운맛,https://ottogi.co.kr/pds/product/2022-05-16_106881874[18].jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.5082372904976594
31,맛있는 오뚜기 컵밥 진짬뽕밥,https://ottogi.co.kr/pds/product/2023-02-02_301781936[21].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0.014669962770159506
32,참깨라면컵,https://ottogi.co.kr/pds/product/2022-05-11_325362765[3].jpg,0,1,0,0,10,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.5082372904976594
33,옛날 육개장,https://ottogi.co.kr/pds/product/2021-04-29_160261500[12].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0.014669962770159506
34,옛날 참기름,https://ottogi.co.kr/pds/product/2021-04-26_806363628[20].jpg,0,1,10,0,0,0,0,10.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1,0.019559942344987164
